account,property_name,amount
Gross Profit,324 4th St. N,113631.22
Dumpsters,324 4th St. N,1360.28
Earnest money,324 4th St. N,2500
Interest Payment,324 4th St. N,6291.65
Labor,324 4th St. N,24675
Materials,324 4th St. N,23302.88
Permits,324 4th St. N,1100
Property Purchase,324 4th St. N,151000
Third Party Vendors,324 4th St. N,26512.55
Utilities,324 4th St. N,31.77
Total for Expenses,324 4th St. N,236774.12999999998
Net Operating Income,324 4th St. N,-123142.90999999997
Mortgage,324 4th St. N,151000
Total for Other Income,324 4th St. N,151000
Net Other Income,324 4th St. N,151000
Net Income,324 4th St. N,27857.090000000026
Sale of property,3249 Wagon Gap Trail,205171.3
Total for Income,3249 Wagon Gap Trail,205171.3
Gross Profit,3249 Wagon Gap Trail,205171.3
Cleaning services,3249 Wagon Gap Trail,380
Dumpsters,3249 Wagon Gap Trail,2071.17
Interest Payment,3249 Wagon Gap Trail,36583.33
Labor,3249 Wagon Gap Trail,36380
Materials,3249 Wagon Gap Trail,29574.04
Property Insurance,3249 Wagon Gap Trail,8412.3
Property Purchase,3249 Wagon Gap Trail,46981.08
Referal Fee,3249 Wagon Gap Trail,2000
Staging and Interiors,3249 Wagon Gap Trail,3000
Third Party Vendors,3249 Wagon Gap Trail,21392.34
Utilities,3249 Wagon Gap Trail,1668.54
Total for Expenses,3249 Wagon Gap Trail,188442.80000000002
Net Operating Income,3249 Wagon Gap Trail,16728.49999999997
Net Income,3249 Wagon Gap Trail,16728.49999999997
Sale of property,333 Orchid Rd,18175
Total for Income,333 Orchid Rd,18175
Gross Profit,333 Orchid Rd,18175
Dumpsters,333 Orchid Rd,505.68
Reimbursment,333 Orchid Rd,-59183
Third Party Vendors,333 Orchid Rd,1373
Total for Expenses,333 Orchid Rd,-57304.32
Net Operating Income,333 Orchid Rd,75479.32
Net Income,333 Orchid Rd,75479.32
Cleaning services,3348 Overton Rd,707.5
Dumpsters,3348 Overton Rd,2833.83
Interest Payment,3348 Overton Rd,46710.85
Labor,3348 Overton Rd,46980
Materials,3348 Overton Rd,55723.3
Property Purchase,3348 Overton Rd,83706.79
Staging and Interiors,3348 Overton Rd,3548.89
Tax payments,3348 Overton Rd,6704.29
Third Party Vendors,3348 Overton Rd,46606.41
Utilities,3348 Overton Rd,4118.05
Total for Expenses,3348 Overton Rd,297639.91
Net Operating Income,3348 Overton Rd,-297639.91
Net Income,3348 Overton Rd,-297639.91
Sale of property,335 Co Rd 1130,185838.2
Total for Income,335 Co Rd 1130,185838.2
Gross Profit,335 Co Rd 1130,185838.2
Cleaning services,335 Co Rd 1130,400
Labor,335 Co Rd 1130,17604
Materials,335 Co Rd 1130,17003.61
Property Purchase,335 Co Rd 1130,1030.37
Third Party Vendors,335 Co Rd 1130,14927.73
Utilities,335 Co Rd 1130,2149.99
Total for Expenses,335 Co Rd 1130,53115.700000000004
Net Operating Income,335 Co Rd 1130,132722.5
Net Income,335 Co Rd 1130,132722.5
Sale of property,3372 Wood Drive Cir.,81286.91
Total for Income,3372 Wood Drive Cir.,81286.91
Gross Profit,3372 Wood Drive Cir.,81286.91
Dumpsters,3372 Wood Drive Cir.,932.15
Labor,3372 Wood Drive Cir.,19100
Materials,3372 Wood Drive Cir.,17512.82
Property Insurance,3372 Wood Drive Cir.,585
Third Party Vendors,3372 Wood Drive Cir.,8465.5
Total for Expenses,3372 Wood Drive Cir.,46595.47
Net Operating Income,3372 Wood Drive Cir.,34691.44
Net Income,3372 Wood Drive Cir.,34691.44
Sale of property,3409 Crosscreek Cir,47187.73
Total for Income,3409 Crosscreek Cir,47187.73
Gross Profit,3409 Crosscreek Cir,47187.73
Dumpsters,3409 Crosscreek Cir,1012.75
Labor,3409 Crosscreek Cir,17900
Materials,3409 Crosscreek Cir,16004.97
Third Party Vendors,3409 Crosscreek Cir,9845.3
Utilities,3409 Crosscreek Cir,440.94
Total for Expenses,3409 Crosscreek Cir,45203.96000000001
Net Operating Income,3409 Crosscreek Cir,1983.7699999999968
Net Income,3409 Crosscreek Cir,1983.7699999999968
Sale of property,3512 Nazha Cir,228030.39
Total for Income,3512 Nazha Cir,228030.39
Gross Profit,3512 Nazha Cir,228030.39
Closing Costs,3512 Nazha Cir,2838.35
Dumpsters,3512 Nazha Cir,3857.35
Interest Payment,3512 Nazha Cir,5458.33
Labor,3512 Nazha Cir,33385
Materials,3512 Nazha Cir,38277.92
Profit Share,3512 Nazha Cir,61991.57
Property Insurance,3512 Nazha Cir,1754
real estate expenses,3512 Nazha Cir,92.14
Third Party Vendors,3512 Nazha Cir,20006.5
Total for Expenses,3512 Nazha Cir,167661.16
Net Operating Income,3512 Nazha Cir,60369.23000000001
Net Income,3512 Nazha Cir,60369.23000000001
Sale of property,3535 Deerfield Dr,173499.43
Total for Income,3535 Deerfield Dr,173499.43
Gross Profit,3535 Deerfield Dr,173499.43
Cleaning services,3535 Deerfield Dr,350
Dumpsters,3535 Deerfield Dr,2403.76
Interest Payment,3535 Deerfield Dr,7500
Labor,3535 Deerfield Dr,31000
Materials,3535 Deerfield Dr,30589.46
Property Purchase,3535 Deerfield Dr,22187.63
Third Party Vendors,3535 Deerfield Dr,27169.28
Utilities,3535 Deerfield Dr,881.13
Total for Expenses,3535 Deerfield Dr,122081.26000000001
Net Operating Income,3535 Deerfield Dr,51418.169999999984
Net Income,3535 Deerfield Dr,51418.169999999984
Sale of property,354 Highland Park Dr.,354117.66
Total for Income,354 Highland Park Dr.,354117.66
Gross Profit,354 Highland Park Dr.,354117.66
Cleaning services,354 Highland Park Dr.,800
Dumpsters,354 Highland Park Dr.,3060.77
Earnest money,354 Highland Park Dr.,5000
HOA Fees,354 Highland Park Dr.,2344.87
Interest Payment,354 Highland Park Dr.,30000.24
Labor,354 Highland Park Dr.,52680
Materials,354 Highland Park Dr.,55364.34
Property Purchase,354 Highland Park Dr.,93639.6
Third Party Vendors,354 Highland Park Dr.,54335.7
Utilities,354 Highland Park Dr.,2512.04
Total for Expenses,354 Highland Park Dr.,299737.56
Net Operating Income,354 Highland Park Dr.,54380.09999999998
Net Income,354 Highland Park Dr.,54380.09999999998
Sale of property,3618 Haven View Cir,81185.68
Total for Income,3618 Haven View Cir,81185.68
Gross Profit,3618 Haven View Cir,81185.68
Cleaning services,3618 Haven View Cir,200
HOA Fees,3618 Haven View Cir,6951.84
Interest Payment,3618 Haven View Cir,10000
Labor,3618 Haven View Cir,21900
Materials,3618 Haven View Cir,22346.52
Permits,3618 Haven View Cir,3074
Property Insurance,3618 Haven View Cir,1187
Staging and Interiors,3618 Haven View Cir,3000
Third Party Vendors,3618 Haven View Cir,16941
Utilities,3618 Haven View Cir,1275.74
Total for Expenses,3618 Haven View Cir,86876.1
Net Operating Income,3618 Haven View Cir,-5690.420000000013
Net Income,3618 Haven View Cir,-5690.420000000013
Interest Payment,380 Myrick Rd,5149.44
Labor,380 Myrick Rd,20800
Materials,380 Myrick Rd,16247.77
Property Insurance,380 Myrick Rd,1261.67
Property Purchase,380 Myrick Rd,67393.94
Third Party Vendors,380 Myrick Rd,16047
Utilities,380 Myrick Rd,1120.91
Total for Expenses,380 Myrick Rd,128020.73000000001
Net Operating Income,380 Myrick Rd,-128020.73000000001
Net Income,380 Myrick Rd,-128020.73000000001
Dumpsters,3834 Highway 11,892.5
Labor,3834 Highway 11,34740
Materials,3834 Highway 11,54065.17
Permits,3834 Highway 11,1836.91
Property Purchase,3834 Highway 11,106341.14
Third Party Vendors,3834 Highway 11,32414.41
Utilities,3834 Highway 11,385.4
Total for Expenses,3834 Highway 11,230675.53
Net Operating Income,3834 Highway 11,-230675.53
Net Income,3834 Highway 11,-230675.53
Sale of property,3845 Nowlin Rd SW,349492.76
Total for Income,3845 Nowlin Rd SW,349492.76
Gross Profit,3845 Nowlin Rd SW,349492.76
Dumpsters,3845 Nowlin Rd SW,1879.05
Labor,3845 Nowlin Rd SW,37500
Materials,3845 Nowlin Rd SW,37014.39
Property Purchase,3845 Nowlin Rd SW,220934.26
Third Party Vendors,3845 Nowlin Rd SW,14436.6
Utilities,3845 Nowlin Rd SW,200.15
Total for Expenses,3845 Nowlin Rd SW,311964.45
Net Operating Income,3845 Nowlin Rd SW,37528.31
Net Income,3845 Nowlin Rd SW,37528.31
Sale of property,39 Polly Ridge Rd,135455.51
Total for Income,39 Polly Ridge Rd,135455.51
Gross Profit,39 Polly Ridge Rd,135455.51
Admin Services,39 Polly Ridge Rd,600
Dumpsters,39 Polly Ridge Rd,556.97
Labor,39 Polly Ridge Rd,25326
Materials,39 Polly Ridge Rd,25130.75
Property Purchase,39 Polly Ridge Rd,35629.31
Third Party Vendors,39 Polly Ridge Rd,8432
Total for Expenses,39 Polly Ridge Rd,95675.03
Net Operating Income,39 Polly Ridge Rd,39780.48000000001
Net Income,39 Polly Ridge Rd,39780.48000000001
Sale of property,3926 Valley Bend Dr.,130655.32
Total for Income,3926 Valley Bend Dr.,130655.32
Gross Profit,3926 Valley Bend Dr.,130655.32
Closing Costs,3926 Valley Bend Dr.,745.02
Dumpsters,3926 Valley Bend Dr.,2921.21
Interest Payment,3926 Valley Bend Dr.,3600
Labor,3926 Valley Bend Dr.,31567
Materials,3926 Valley Bend Dr.,22240.41
Profit Share,3926 Valley Bend Dr.,22330.1
Property Insurance,3926 Valley Bend Dr.,1165
Property Purchase,3926 Valley Bend Dr.,20000
Referal Fee,3926 Valley Bend Dr.,3500
Third Party Vendors,3926 Valley Bend Dr.,9913.49
Total for Expenses,3926 Valley Bend Dr.,117982.23
Net Operating Income,3926 Valley Bend Dr.,12673.090000000011
Net Income,3926 Valley Bend Dr.,12673.090000000011
Sale of property,396 Union Station Way,204743.81
Total for Income,396 Union Station Way,204743.81
Gross Profit,396 Union Station Way,204743.81
Admin Services,396 Union Station Way,300
Dumpsters,396 Union Station Way,940.68
Earnest money,396 Union Station Way,1000
Labor,396 Union Station Way,17361.96
Materials,396 Union Station Way,3935.52
Permits,396 Union Station Way,633.24
Property Purchase,396 Union Station Way,140472.55
Third Party Vendors,396 Union Station Way,3272.78
Total for Expenses,396 Union Station Way,167916.72999999998
Net Operating Income,396 Union Station Way,36827.080000000016
Net Income,396 Union Station Way,36827.080000000016
Sale of property,40 Clearview Rd,184470.62
Total for Income,40 Clearview Rd,184470.62
Gross Profit,40 Clearview Rd,184470.62
Dumpsters,40 Clearview Rd,1465.82
Labor,40 Clearview Rd,16775
Materials,40 Clearview Rd,10876.14
Property Purchase,40 Clearview Rd,126177.31
Third Party Vendors,40 Clearview Rd,9026
Total for Expenses,40 Clearview Rd,164320.27
Net Operating Income,40 Clearview Rd,20150.350000000006
Net Income,40 Clearview Rd,20150.350000000006
Sale of property,4004 Saddle Run Cir,106703.91
Total for Income,4004 Saddle Run Cir,106703.91
Gross Profit,4004 Saddle Run Cir,106703.91
Closing Costs,4004 Saddle Run Cir,762.5
Dumpsters,4004 Saddle Run Cir,2483.9
Earnest money,4004 Saddle Run Cir,1000
Labor,4004 Saddle Run Cir,23000
Materials,4004 Saddle Run Cir,13992.56
Third Party Vendors,4004 Saddle Run Cir,12478.6
Total for Expenses,4004 Saddle Run Cir,53717.56
Net Operating Income,4004 Saddle Run Cir,52986.350000000006
Mortgage,4004 Saddle Run Cir,145000
Total for Other Income,4004 Saddle Run Cir,145000
Net Other Income,4004 Saddle Run Cir,145000
Net Income,4004 Saddle Run Cir,197986.35
Sale of property,4032 Middle Ave,88443.43
Total for Income,4032 Middle Ave,88443.43
Gross Profit,4032 Middle Ave,88443.43
Cleaning services,4032 Middle Ave,150
Dumpsters,4032 Middle Ave,1925.71
Earnest money,4032 Middle Ave,2000
Interest Payment,4032 Middle Ave,2745.16
Labor,4032 Middle Ave,23825
Materials,4032 Middle Ave,19974.36
Office Supplies,4032 Middle Ave,837.08
Third Party Vendors,4032 Middle Ave,10977.4
Total for Expenses,4032 Middle Ave,62434.71
Net Operating Income,4032 Middle Ave,26008.719999999994
Net Income,4032 Middle Ave,26008.719999999994
Sale of property,4038 Ida Ln,169690.97
Total for Income,4038 Ida Ln,169690.97
Gross Profit,4038 Ida Ln,169690.97
Cleaning services,4038 Ida Ln,275
Dumpsters,4038 Ida Ln,1291.3
Interest Payment,4038 Ida Ln,8929.72
Labor,4038 Ida Ln,18975
Materials,4038 Ida Ln,11341.01
Property Insurance,4038 Ida Ln,1812.29
Property Purchase,4038 Ida Ln,88739.2
Staging and Interiors,4038 Ida Ln,3500
Third Party Vendors,4038 Ida Ln,7484
Utilities,4038 Ida Ln,1147.33
Total for Expenses,4038 Ida Ln,143494.84999999998
Net Operating Income,4038 Ida Ln,26196.120000000024
Net Income,4038 Ida Ln,26196.120000000024
Cleaning services,4042 Jubille ln,175
Dumpsters,4042 Jubille ln,1012.75
Labor,4042 Jubille ln,11600
Materials,4042 Jubille ln,6182.33
Third Party Vendors,4042 Jubille ln,6669.4
Total for Expenses,4042 Jubille ln,25639.480000000003
Net Operating Income,4042 Jubille ln,-25639.480000000003
Net Income,4042 Jubille ln,-25639.480000000003
Sales (deleted),405 Art Hanes Blvd,222063.64
Total for Income,405 Art Hanes Blvd,222063.64
Gross Profit,405 Art Hanes Blvd,222063.64
Dumpsters,405 Art Hanes Blvd,1522.6
Labor,405 Art Hanes Blvd,44530
Materials,405 Art Hanes Blvd,46963.16
Third Party Vendors,405 Art Hanes Blvd,50139.2
Total for Expenses,405 Art Hanes Blvd,143154.96000000002
Net Operating Income,405 Art Hanes Blvd,78908.68
Net Income,405 Art Hanes Blvd,78908.68
Sale of property,411 Woodward Rd.,208123.6
Total for Income,411 Woodward Rd.,208123.6
Gross Profit,411 Woodward Rd.,208123.6
Admin Services,411 Woodward Rd.,300
Cleaning services,411 Woodward Rd.,290
Closing Costs,411 Woodward Rd.,4655
Dumpsters,411 Woodward Rd.,4192.25
Interest Payment,411 Woodward Rd.,8750.01
Labor,411 Woodward Rd.,46400
Materials,411 Woodward Rd.,40019.5
Photography,411 Woodward Rd.,130
Referal Fee,411 Woodward Rd.,20000
Third Party Vendors,411 Woodward Rd.,44373.11
Total for Expenses,411 Woodward Rd.,169109.87
Net Operating Income,411 Woodward Rd.,39013.73000000001
Net Income,411 Woodward Rd.,39013.73000000001
Sale of property,413 Popler Ridge,83158.08
Total for Income,413 Popler Ridge,83158.08
Gross Profit,413 Popler Ridge,83158.08
Admin Services,413 Popler Ridge,300
Closing Costs,413 Popler Ridge,46478.04
Earnest money,413 Popler Ridge,2000
Labor,413 Popler Ridge,300
Materials,413 Popler Ridge,666.81
Total for Expenses,413 Popler Ridge,49744.85
Net Operating Income,413 Popler Ridge,33413.23
Net Income,413 Popler Ridge,33413.23
Automobile Expense,424 Co Rd 3150,410.65
Earnest money,424 Co Rd 3150,10000
Interest Payment,424 Co Rd 3150,4233.33
Labor,424 Co Rd 3150,162924.43
Materials,424 Co Rd 3150,149246.42
Professional Fees,424 Co Rd 3150,650
Property taxes,424 Co Rd 3150,3316.04
Third Party Vendors,424 Co Rd 3150,59856.63
Utilities,424 Co Rd 3150,3542.98
Total for Expenses,424 Co Rd 3150,394180.48
Net Operating Income,424 Co Rd 3150,-394180.48
Mortgage,424 Co Rd 3150,185000
Total for Other Income,424 Co Rd 3150,185000
Net Other Income,424 Co Rd 3150,185000
Net Income,424 Co Rd 3150,-209180.47999999998
Materials,4248 Milner Rd E,2746.92
Total for Expenses,4248 Milner Rd E,2746.92
Net Operating Income,4248 Milner Rd E,-2746.92
Net Income,4248 Milner Rd E,-2746.92
Dumpsters,4320 Corinth Dr,3019.8
Earnest money,4320 Corinth Dr,10000
Interest Payment,4320 Corinth Dr,2669.44
Labor,4320 Corinth Dr,8500
Materials,4320 Corinth Dr,37357.06
Permits,4320 Corinth Dr,2450
Property Insurance,4320 Corinth Dr,950.65
Property Purchase,4320 Corinth Dr,445399.45
Staging and Interiors,4320 Corinth Dr,2500
Utilities,4320 Corinth Dr,1138.63
Total for Expenses,4320 Corinth Dr,513985.03
Net Operating Income,4320 Corinth Dr,-513985.03
Net Income,4320 Corinth Dr,-513985.03
Sale of property,4358 Oak St,79672.71
Total for Income,4358 Oak St,79672.71
Gross Profit,4358 Oak St,79672.71
Cleaning services,4358 Oak St,250
Dumpsters,4358 Oak St,3626.11
Interest Payment,4358 Oak St,650
Labor,4358 Oak St,37065.56
Materials,4358 Oak St,35753.37
Referal Fee,4358 Oak St,6000
Third Party Vendors,4358 Oak St,19036.1
Utilities,4358 Oak St,892.97
Total for Expenses,4358 Oak St,103274.11000000002
Net Operating Income,4358 Oak St,-23601.40000000001
Net Income,4358 Oak St,-23601.40000000001
Dumpsters,440 Woodland Ct NE,892.5
Interest Payment,440 Woodland Ct NE,1742.88
Labor,440 Woodland Ct NE,22000
Materials,440 Woodland Ct NE,21028.72
Permits,440 Woodland Ct NE,3407
Property Insurance,440 Woodland Ct NE,633.42
Property Purchase,440 Woodland Ct NE,24136.25
Third Party Vendors,440 Woodland Ct NE,5547
Utilities,440 Woodland Ct NE,624.23
Total for Expenses,440 Woodland Ct NE,80012
Net Operating Income,440 Woodland Ct NE,-80012
Net Income,440 Woodland Ct NE,-80012
Sale of property,4433 Woodland Hills,219957.42
Total for Income,4433 Woodland Hills,219957.42
Gross Profit,4433 Woodland Hills,219957.42
Admin Services,4433 Woodland Hills,330
Dumpsters,4433 Woodland Hills,2557.97
Earnest money,4433 Woodland Hills,1000
Interest Payment,4433 Woodland Hills,8266.72
Labor,4433 Woodland Hills,52565
Materials,4433 Woodland Hills,38144.36
Third Party Vendors,4433 Woodland Hills,24546
Total for Expenses,4433 Woodland Hills,127410.05
Net Operating Income,4433 Woodland Hills,92547.37000000001
Net Income,4433 Woodland Hills,92547.37000000001
Sale of property,445 Annie Lee Rd,135994.07
Total for Income,445 Annie Lee Rd,135994.07
Gross Profit,445 Annie Lee Rd,135994.07
Closing Costs,445 Annie Lee Rd,23249.23
Dumpsters,445 Annie Lee Rd,2203.07
Interest Payment,445 Annie Lee Rd,2588.75
Labor,445 Annie Lee Rd,17350
Materials,445 Annie Lee Rd,13804.91
Third Party Vendors,445 Annie Lee Rd,19240.92
Utilities,445 Annie Lee Rd,278.83
Total for Expenses,445 Annie Lee Rd,78715.71
Net Operating Income,445 Annie Lee Rd,57278.36
Net Income,445 Annie Lee Rd,57278.36
Sale of property,4461 Parkwood Cir,174091.1
Total for Income,4461 Parkwood Cir,174091.1
Gross Profit,4461 Parkwood Cir,174091.1
Cleaning services,4461 Parkwood Cir,200
Dumpsters,4461 Parkwood Cir,1141.85
Interest Payment,4461 Parkwood Cir,2835.63
Labor,4461 Parkwood Cir,21080
Materials,4461 Parkwood Cir,29268.32
Property Insurance,4461 Parkwood Cir,1104.35
Property Purchase,4461 Parkwood Cir,40515.65
Staging and Interiors,4461 Parkwood Cir,3650
Third Party Vendors,4461 Parkwood Cir,9404.26
Utilities,4461 Parkwood Cir,660.49
Total for Expenses,4461 Parkwood Cir,109860.55
Net Operating Income,4461 Parkwood Cir,64230.55
Net Income,4461 Parkwood Cir,64230.55
Sale of property,45 Ridgefield Ln,299526.9
Total for Income,45 Ridgefield Ln,299526.9
Gross Profit,45 Ridgefield Ln,299526.9
Cleaning services,45 Ridgefield Ln,275
Labor,45 Ridgefield Ln,6900
Materials,45 Ridgefield Ln,3326.18
Property Purchase,45 Ridgefield Ln,231239.4
Third Party Vendors,45 Ridgefield Ln,125
Total for Expenses,45 Ridgefield Ln,241865.58
Net Operating Income,45 Ridgefield Ln,57661.320000000036
Net Income,45 Ridgefield Ln,57661.320000000036
Dumpsters,450 Doss Ferry Pkwy,446.25
Labor,450 Doss Ferry Pkwy,5980
Materials,450 Doss Ferry Pkwy,1855.68
Third Party Vendors,450 Doss Ferry Pkwy,1129
Total for Expenses,450 Doss Ferry Pkwy,9410.93
Net Operating Income,450 Doss Ferry Pkwy,-9410.93
Net Income,450 Doss Ferry Pkwy,-9410.93
Sale of property,4533 Oak Dr,104820.34
Total for Income,4533 Oak Dr,104820.34
Gross Profit,4533 Oak Dr,104820.34
Cleaning services,4533 Oak Dr,300
Closing Costs,4533 Oak Dr,1053.56
Dumpsters,4533 Oak Dr,2186.25
Interest Payment,4533 Oak Dr,5687.5
Labor,4533 Oak Dr,29827.66
Materials,4533 Oak Dr,26522.65
Third Party Vendors,4533 Oak Dr,9462.55
Utilities,4533 Oak Dr,1409.06
Total for Expenses,4533 Oak Dr,76449.23
Net Operating Income,4533 Oak Dr,28371.11
Net Income,4533 Oak Dr,28371.11
Labor,4545 Shocco Springs Rd,4500
Materials,4545 Shocco Springs Rd,1941.86
Property Purchase,4545 Shocco Springs Rd,131552.94
Third Party Vendors,4545 Shocco Springs Rd,7876
Utilities,4545 Shocco Springs Rd,914.05
Total for Expenses,4545 Shocco Springs Rd,146784.84999999998
Net Operating Income,4545 Shocco Springs Rd,-146784.84999999998
Net Income,4545 Shocco Springs Rd,-146784.84999999998
Earnest money,4624 Fairfax Ct.,1000
Total for Expenses,4624 Fairfax Ct.,1000
Net Operating Income,4624 Fairfax Ct.,-1000
Net Income,4624 Fairfax Ct.,-1000
Sale of property,4652 Clairmont Ave,343946.79
Total for Income,4652 Clairmont Ave,343946.79
Gross Profit,4652 Clairmont Ave,343946.79
Dumpsters,4652 Clairmont Ave,1840
Labor,4652 Clairmont Ave,25400
Materials,4652 Clairmont Ave,28472.74
Permits,4652 Clairmont Ave,1775
Property Purchase,4652 Clairmont Ave,229134.94
Third Party Vendors,4652 Clairmont Ave,42595.36
Total for Expenses,4652 Clairmont Ave,329218.04
Net Operating Income,4652 Clairmont Ave,14728.75
Net Income,4652 Clairmont Ave,14728.75
Cleaning services,4793 Longmeadow Dr,200
Dumpsters,4793 Longmeadow Dr,682.5
Interest Payment,4793 Longmeadow Dr,3389.33
Labor,4793 Longmeadow Dr,3765
Materials,4793 Longmeadow Dr,8137.36
Property Insurance,4793 Longmeadow Dr,675.86
Property Purchase,4793 Longmeadow Dr,34279.15
Third Party Vendors,4793 Longmeadow Dr,2759
Utilities,4793 Longmeadow Dr,1092.97
Total for Expenses,4793 Longmeadow Dr,54981.17
Net Operating Income,4793 Longmeadow Dr,-54981.17
Net Income,4793 Longmeadow Dr,-54981.17
Sale of property,4924 Branch Mill Cir,828388.21
Total for Income,4924 Branch Mill Cir,828388.21
Gross Profit,4924 Branch Mill Cir,828388.21
Cleaning services,4924 Branch Mill Cir,537.5
Dumpsters,4924 Branch Mill Cir,4847.89
Interest Payment,4924 Branch Mill Cir,28252.77
Labor,4924 Branch Mill Cir,84737
Materials,4924 Branch Mill Cir,145890.92
Professional Fees,4924 Branch Mill Cir,2500
Property Insurance,4924 Branch Mill Cir,-78.82
Property Purchase,4924 Branch Mill Cir,172657.56
Staging and Interiors,4924 Branch Mill Cir,3900
Third Party Vendors,4924 Branch Mill Cir,75322.72
Utilities,4924 Branch Mill Cir,2225.92
Total for Expenses,4924 Branch Mill Cir,520793.46
Net Operating Income,4924 Branch Mill Cir,307594.74999999994
Net Income,4924 Branch Mill Cir,307594.74999999994
Interest Payment,496 Springdale Rd.,3333.55
Labor,496 Springdale Rd.,9315
Materials,496 Springdale Rd.,6175.15
Third Party Vendors,496 Springdale Rd.,4767.5
Utilities,496 Springdale Rd.,407.64
Total for Expenses,496 Springdale Rd.,23998.839999999997
Net Operating Income,496 Springdale Rd.,-23998.839999999997
Net Income,496 Springdale Rd.,-23998.839999999997
Sale of property,500 Lance Way,158654.44
Total for Income,500 Lance Way,158654.44
Gross Profit,500 Lance Way,158654.44
Admin Services,500 Lance Way,300
Cleaning services,500 Lance Way,160
Dumpsters,500 Lance Way,1840.65
Labor,500 Lance Way,23729
Materials,500 Lance Way,21434.87
Photography,500 Lance Way,230
Property Insurance,500 Lance Way,1046
Property Purchase,500 Lance Way,169442.7
Third Party Vendors,500 Lance Way,21813.23
Total for Expenses,500 Lance Way,239996.45000000004
Net Operating Income,500 Lance Way,-81342.01000000004
Mortgage,500 Lance Way,168000
Total for Other Income,500 Lance Way,168000
Net Other Income,500 Lance Way,168000
Net Income,500 Lance Way,86657.98999999996
Dumpsters,501 Cheri Ln,1452.18
Labor,501 Cheri Ln,14150
Materials,501 Cheri Ln,8213.8
Property Purchase,501 Cheri Ln,40942.7
Third Party Vendors,501 Cheri Ln,5543.75
Utilities,501 Cheri Ln,175.29
Total for Expenses,501 Cheri Ln,70477.71999999999
Net Operating Income,501 Cheri Ln,-70477.71999999999
Net Income,501 Cheri Ln,-70477.71999999999
Sale of property,5013 knollview cir,163039.44
Total for Income,5013 knollview cir,163039.44
Gross Profit,5013 knollview cir,163039.44
Admin Services,5013 knollview cir,300
Cleaning services,5013 knollview cir,160
Dumpsters,5013 knollview cir,559.68
Earnest money,5013 knollview cir,3000
Interest Payment,5013 knollview cir,7350
Labor,5013 knollview cir,35500
Materials,5013 knollview cir,40192.24
Photography,5013 knollview cir,130
Third Party Vendors,5013 knollview cir,31493.6
Total for Expenses,5013 knollview cir,118685.51999999999
Net Operating Income,5013 knollview cir,44353.92000000001
Net Income,5013 knollview cir,44353.92000000001
Sale of property,5039 Vernon St,69701.45
Total for Income,5039 Vernon St,69701.45
Gross Profit,5039 Vernon St,69701.45
Dumpsters,5039 Vernon St,1465.82
Labor,5039 Vernon St,22350
Materials,5039 Vernon St,14500.17
Third Party Vendors,5039 Vernon St,9847.6
Utilities,5039 Vernon St,476.96
Total for Expenses,5039 Vernon St,48640.549999999996
Net Operating Income,5039 Vernon St,21060.9
Net Income,5039 Vernon St,21060.9
Sale of property,504 Lance Way,328867.73
Total for Income,504 Lance Way,328867.73
Gross Profit,504 Lance Way,328867.73
Dumpsters,504 Lance Way,4759.42
Labor,504 Lance Way,33760
Materials,504 Lance Way,22955.39
Photography,504 Lance Way,130
Property Purchase,504 Lance Way,186003.81
Referal Fee,504 Lance Way,2000
Third Party Vendors,504 Lance Way,44295.63
Total for Expenses,504 Lance Way,293904.25
Net Operating Income,504 Lance Way,34963.47999999998
Net Income,504 Lance Way,34963.47999999998
Cleaning services,505 Sunhill Rd,425
Dumpsters,505 Sunhill Rd,4928.28
Earnest money,505 Sunhill Rd,2000
Labor,505 Sunhill Rd,37850
Materials,505 Sunhill Rd,40122.28
Permits,505 Sunhill Rd,2510
Property Purchase,505 Sunhill Rd,-1456.36
Staging and Interiors,505 Sunhill Rd,3900
Third Party Vendors,505 Sunhill Rd,36242.2
Utilities,505 Sunhill Rd,1087.96
Total for Expenses,505 Sunhill Rd,127609.36
Net Operating Income,505 Sunhill Rd,-127609.36
Net Income,505 Sunhill Rd,-127609.36
Cleaning services,508 Tambay Dr,215
Dumpsters,508 Tambay Dr,1483.02
Inspection Fee,508 Tambay Dr,50
Interest Payment,508 Tambay Dr,7366.07
Labor,508 Tambay Dr,26300
Materials,508 Tambay Dr,29078.6
Permits,508 Tambay Dr,2229
Property Insurance,508 Tambay Dr,1378.62
Survey,508 Tambay Dr,750
Third Party Vendors,508 Tambay Dr,19399
Utilities,508 Tambay Dr,1028.33
Total for Expenses,508 Tambay Dr,89277.64
Net Operating Income,508 Tambay Dr,-89277.64
Net Income,508 Tambay Dr,-89277.64
Materials,508 Water Oak,5658.43
Total for Expenses,508 Water Oak,5658.43
Net Operating Income,508 Water Oak,-5658.43
Net Income,508 Water Oak,-5658.43
Sale of property,509 Lansdowne Pl,403085.46
Total for Income,509 Lansdowne Pl,403085.46
Gross Profit,509 Lansdowne Pl,403085.46
Admin Services,509 Lansdowne Pl,300
Labor,509 Lansdowne Pl,11200
Materials,509 Lansdowne Pl,8667.54
Photography,509 Lansdowne Pl,115
Property Purchase,509 Lansdowne Pl,321941.89
Third Party Vendors,509 Lansdowne Pl,4482.5
Total for Expenses,509 Lansdowne Pl,346706.93
Net Operating Income,509 Lansdowne Pl,56378.53000000003
